entryId,entityType,contentfulUrl,slug,Test Form?,formEntityNames,BW Campaign ID,Campaign Member Status,Campaign Name,CXM Campaign ID,Form Name,Form Type,Global Campaign ID,Journey Stage,Lead Source,Lead Source Other,MONET Campaign ID,Product Interest,Solution,US Campaign ID
cp--as-csd6-conveyor-stacker,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-csd6-conveyor-stacker,paper-feeding/as-csd6,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--as-fdr-14-high-speed-friction-feeder,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-fdr-14-high-speed-friction-feeder,paper-feeding/as-fdr-14,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--ta-fdr25-feeder,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ta-fdr25-feeder,paper-feeding/ta-fdr-25,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
1pHrFcTxhLxtrxHk1JEdap,homePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1pHrFcTxhLxtrxHk1JEdap,/,N,A3 - Request a Demo All Solutions,,,,,,,,,,,,,,
1vG4RRSLyVdWgIPACXJm8E,listingPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1vG4RRSLyVdWgIPACXJm8E,en-CA=/news; en-US=news; fr-CA=actualites,N,Press and News Form,,,,,,Press/News,,,,,,,,
6P19TKRFh4xTJU2OX3kJXI,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/6P19TKRFh4xTJU2OX3kJXI,de-AT=ressourcen/der-umfassende-leitfaden-zur-postautomatisierung-finden-sie-die-richtige-kuvertiermaschine; de-CH=ressourcen/der-umfassende-leitfaden-zur-postautomatisierung-finden-sie-die-richtige-kuvertiermaschine; de-DE=ressourcen/der-umfassende-leitfaden-zur-postautomatisierung-finden-sie-die-richtige-kuvertiermaschine; en-US=ebooks-papers/comprehensive-guide-how-find-right-folder-inserter; fr-FR=ressources/guide_achat_machine_mise_sous_pli,N,C1 - MRS - Hand Raiser Form,,WP-MRS-DOWNLOAD-MRS-FIBG,,,MCCF - FY23-Q1-AM-RM-IB-MRS-FOLDER-INSERTER-BUYERS-GUIDE,,,Comparison,WEB,,,Folder Inserters,Mailing and Shipping,7014X000002iQMmQAM
2HE1fLOx08rnaZFU4kdPAd,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2HE1fLOx08rnaZFU4kdPAd,de-AT=ressourcen/die-zukunft-der-post-5-top-prognosen-von-branchenexperten; de-CH=ressourcen/die-zukunft-der-post-5-top-prognosen-von-branchenexperten; de-DE=ressourcen/die-zukunft-der-post-5-top-prognosen-von-branchenexperten; en-US=ebooks-papers/future-mail-top-5-predictions-industry-experts,N,C1 - MRS - Hand Raiser Form,,EB-MRS-Top5predictions,,,MCCF - FY20-Q3-GL-CEC-IB-MRS-Top5predictions,,7014X000002e3FmQAI,Awareness,WEB,,,Folding Inserting Machine,Mailing and Shipping,7010y000001UHu8AAG
1VsOfwcVLEBL0q2KbhPM4v,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1VsOfwcVLEBL0q2KbhPM4v,de-AT=ressourcen/die-zukunft-im-druckbereich-druckdienstleister-psps-bauen-tragfahigere-kundenbeziehungen; de-CH=ressourcen/die-zukunft-im-druckbereich-druckdienstleister-psps-bauen-tragfahigere-kundenbeziehungen; de-DE=ressourcen/die-zukunft-im-druckbereich-druckdienstleister-psps-bauen-tragfaehigere-kundenbeziehungen; en-US=ebooks-papers/printing-future-print-service-providers-psps-build-stronger-customer-connections,N,C1 - MRS - Hand Raiser Form,,,,,,,,Awareness,WEB,,,,Mailing and Shipping,
1736Pk1rYqSK7FYi72jGTo,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1736Pk1rYqSK7FYi72jGTo,de-DE=ressourcen/2025-spark-matrix-accounts-receivable-applications; en-US=ebooks-papers/2025-spark-matrix-accounts-receivable-applications; fr-FR=ressources/2025-spark-matrix-gestion-comptes-clients,N,C1 - Digital - Hand Raiser Form,701OL00000RSEuwYAH,AR-AR-Access report,FY25-Q2-GL-CORP-IB-AR-ACQ-SPARK Matrix AR Application 2025,,,,701Pq00000Z2uE3IAJ,Awareness|Comparison,YayPay.com,,,Accounts Receivable Automation,Accounts Receivable,
2D3pDKAI2V1zC85gAd4Nja,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2D3pDKAI2V1zC85gAd4Nja,de-DE=ressourcen/abloesung-lokal-gehosteter-legacy-ccm-systeme; en-US=ebooks-papers/replacing-premises-legacy-customer-communication-systems; fr-FR=ressources/mettre-a-jour-systeme-ccm-sur-site,N,C1 - Digital - Hand Raiser Form,,GD-CXM-Replacing/Upgrading On-Prem Legac,,701Rp00000JFKtAIAX,,,,Awareness,,,,,Customer Communications,
