entryId,entityType,contentfulUrl,slug,Test Form?,formEntityNames,BW Campaign ID,Campaign Member Status,Campaign Name,CXM Campaign ID,Form Name,Form Type,Global Campaign ID,Journey Stage,Lead Source,Lead Source Other,MONET Campaign ID,Product Interest,Solution,US Campaign ID
2xBwThklFIT1HCUSyWsICk,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2xBwThklFIT1HCUSyWsICk,ebooks-papers/accounts-receivable-management-guide,N,C1 - Digital - Hand Raiser Form,701OL00000Ob8QeYAJ,GD-AR-NORAM AR Management,,,,,,Awareness,,,,Accounts Receivable Automation,Accounts Receivable,
QEm8lEBNnxlekAEeSZS96,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/QEm8lEBNnxlekAEeSZS96,ebooks-papers/ccm-maturity-model-managing-your-transformation,N,C1 - Digital - Hand Raiser Form,,WP-CCM Maturity model|WP-CXM-CCM Maturity model,,7013k0000010Tth,MCCF - FY19-Q3-GL-CM-CCM-Whitepaper-CCM Maturity Model,,,Awareness,,,,Accounts Receivable Automation,Customer Communications,
7tYTPNJFVp3FO41ywFICYm,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7tYTPNJFVp3FO41ywFICYm,ebooks-papers/containerization-docker-kubernetes-and-openshift-explained,N,C1 - Digital - Hand Raiser Form,,WP-CXM-Omnichannel Value,,7013k000001S59t,,,,Awareness,,,,,Customer Communications,
2kOwUvDYyTz8bgr3HIuj5Z,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2kOwUvDYyTz8bgr3HIuj5Z,ebooks-papers/create-winning-business-case-ap-automation,N,C1 - Digital - Hand Raiser Form,7015a0000019nxzAAA,VD-AP-Winning business case,FY22-UKIRE-Nurture-AP-Email-Winning-Business-Case-Webinar,,,,,Awareness,Beanworks.com,,,Accounts Payable Automation,Accounts Payable,
4CfiL1A07b9moqCnnMaS4V,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4CfiL1A07b9moqCnnMaS4V,ebooks-papers/customer-playbook-digitizing-invoices,N,C1 - Digital - Hand Raiser Form,,EB-IDA-digitizing invoices playbook,FY25-Q2-GL-CORP-IB-IDA-customer playbook digitizing invoices,,MCCF- FY25-Q2-GL-CORP-IB-IDA-customer playbook digitizing invoices,,701Pq00000YBZRuIAP,Awareness,,WEB,,,Intelligent Document Automation,701Vw00000I0NDZIA3
zKBVIMavBJnir258n0TY6,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/zKBVIMavBJnir258n0TY6,ebooks-papers/definitive-dunning-letter-toolkit,N,C1 - Digital - Hand Raiser Form,7015a0000019nZDAAY,GD-AR-Dunning-Letter-Toolkit,,,,,,Awareness,Email Campaign,,,,Accounts Receivable,
VeHOqQzQcVnzC4DHMDZpQ,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/VeHOqQzQcVnzC4DHMDZpQ,ebooks-papers/digital-optimization-program-datasheet,N,C1 - Digital - Hand Raiser Form,701OL00000LsiXsYAJ,IG-AR-datasheet-may,,,,,,Awareness,YayPay.com,,,,Accounts Receivable,
6cdFKDfnZY1ijobZ7VwMfs,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/6cdFKDfnZY1ijobZ7VwMfs,ebooks-papers/finance-leaders-guide-automating-ap-and-ar,N,C1 - Digital - Hand Raiser Form,701OL00000ObBMtYAN,GD-AP-NORAM FA Guide to AP AR,,,,,,Comparison,Beanworks.com,,,Accounts Payable Automation,Accounts Payable,
7C6Y9REWNNwTkOfeVHkwYC,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7C6Y9REWNNwTkOfeVHkwYC,ebooks-papers/financial-services-automation-use-cases,N,C1 - Digital - Hand Raiser Form,,AR-CXM-Access Report,,701Rp00000IaEzlIAF,,,,Awareness,,,,,Customer Communications,
7asvJzMwQp1TtCGSGdZz01,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7asvJzMwQp1TtCGSGdZz01,ebooks-papers/guide-automating-invoices-finance-teams,N,C1 - MRS - Hand Raiser Form,,GD-MRS-automate-invoice-processes,,,MCCF - FY25-Q2-GL-CORP-IB-IDA-Web-Content-Assets,,701Pq00000YBZRuIAP,Awareness,WEB,,,,Mailing and Shipping,701Vw00000I0NDZIA3
